Startup Name,Industry,Founding Year,Unicorn Entry Year,Profit in 2021,Current Valuation,Acquisitions,IPO Status,location,Funding(Amt in USD)
PhysicsWallah,Edtech,2016,2022,-$0.877 Million,$1.1 Billion,0,Unlisted,Rajasthan,
LeadSquared,SaaS- CRM,2011,2022,-$1 Million,$1 BIllion,0,Unlisted,Karnataka,
ElasticRun,E-commerce Logistics,2015,2022,-$12 Million,$1.5 Billion,0,Unlisted,Maharashtra,"20,00,000"
LEAD School,Edtech,2012,2022,-$15 Million,$1.1 Billion,1,Unlisted,Maharashtra,
Purplle,E-commerce Personal Care,2012,2022,-$6 Million,$1.1 Billion,1,Unlisted,Maharashtra,"5,37,006"
DealShare,E-commerce,2018,2022,-$8 Million,$1.7 Billion,0,Unlisted,Karnataka,"250,000,000"
Xpressbees,E-commerce Logistics,2015,2022,-$8 Million,$1.2 Billion,0,Unlisted,Maharashtra,"1,25,00,000"
Open,Fintech,2017,2022,-$8 Million,$1 BIllion,2,Unlisted,Karnataka,"500,000"
Games24x7,Gaming,2006,2022,$13 Million,$2.5 Billion,0,Unlisted,Maharashtra,
Amagi,"Media, Advertising",2008,2022,$2 Million,$1 BIllion,0,Unlisted,Karnataka,"3,50,00,000"
Fractal Analytics,SaaS- Analytics,2000,2022,NA,$1 BIllion,7,Unlisted,Karnataka,"10,00,00,000"
Darwinbox,SaaS- HR,2015,2022,NA,$1.07 BIllion,0,Unlisted,Telangana,"40,00,000"
Livspace,E-commerce Interior Design,2014,2022,NA,$1.2 Billion,4,Unlisted,Karnataka,"1,50,00,000"
Uniphore,SaaS- Conversational Automation,2008,2022,NA,$2.5 Billion,3,Unlisted,Tamil Nadu,"1,446,980,000"
Hasura,SaaS- Programming Tools,2017,2022,NA,$1 BIllion,0,Unlisted,Karnataka,
Yubi (CredAvenue),Fintech,2017,2022,NA,$1.3 Billion,2,Unlisted,Tamil Nadu,
CommerceIQ,E-commerce Management Platform,2012,2022,NA,$1 BIllion,0,Unlisted,Karnataka,
Oxyzo,Fintech,2016,2022,NA,$1 BIllion,0,Unlisted,Haryana,
OneCard,Fintech,2018,2022,NA,$1.4 Billion,0,Unlisted,Maharashtra,
Moglix,B2B E-commerce,2015,2021,-$10 Million,$2.6 Billion,1,Unlisted,Uttar Pradesh,"65,400,000"
NoBroker,PropTech,2014,2021,-$12 Million,$1 BIllion,1,Unlisted,Karnataka,"71,400,000"
MobiKwik,Fintech,2009,2021,-$13 Million,$1 BIllion,1,Registered,Haryana,"85,600,000"
Spinny,Automotive,2015,2021,-$13 Million,$1.75 Billion,3,Unlisted,Haryana,"10,00,000"
MPL,ESports,2018,2021,-$16 Million,$2.3 Billion,3,Unlisted,Karnataka,
Acko,Insurtech,2016,2021,-$16 Million,$1.1 Billion,1,Unlisted,Maharashtra,"1,20,00,000"
ShareChat,Social Media,2015,2021,-$183 Million,$5 Billion,6,Unlisted,Karnataka,"23,550,000"
Eruditus,Edtech,2010,2021,-$242 Million,$3.2 Billion,1,Unlisted,Maharashtra,"82,00,000"
upGrad,Edtech,2015,2021,-$26 Million,$2.25 Billion,11,Unlisted,Karnataka,
Apna,Marketplace- Employment,2019,2021,-$3 Million,$1.1 Billion,0,Unlisted,Uttar Pradesh,"8,000,000"
Urban Company,Home Services,2014,2021,-$31 Million,$2.1 Billion,3,Unlisted,Haryana,
BharatPe,Fintech Payments,2018,2021,-$34 Million,$2.85 Billion,1,Unlisted,Delhi,"7,50,00,000"
CarDekho,E-commerce Automotives,2007,2021,-$42 Million,$1.2 Billion,3,Unlisted,Rajasthan,"250,000,000"
Licious,E-commerce Meat Products,2015,2021,-$46 Million,$1.3 Billion,0,Unlisted,Karnataka,"44,000,000"
